prompt_group_id,prompt,target_goal,frequency,geo,brand_variants_tracked,status,prompt_id,monitoring_layer,kpi,kpi_url_citation,kpi_brand_solution
mon-001,эвакуатор ташкент,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-001-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-001,эвакуатор ташкент,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-001-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-002,evakuator,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-002-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-002,evakuator,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-002-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-003,эвакуатор,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-003-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-003,эвакуатор,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-003-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-004,evakuator xizmati,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-004-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-004,evakuator xizmati,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-004-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-005,вызвать эвакуатор,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-005-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-005,вызвать эвакуатор,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-005-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-006,эвакуатор в ташкенте,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-006-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-006,эвакуатор в ташкенте,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-006-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-007,evakuator xizmati toshkent,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-007-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-007,evakuator xizmati toshkent,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-007-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-008,эвакуатор машин,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-008-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-008,эвакуатор машин,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-008-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-009,evakuator tashkent,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-009-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-009,evakuator tashkent,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-009-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-010,автомобильный эвакуатор,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-010-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-010,автомобильный эвакуатор,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-010-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-011,evakuator nomerlari,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-011-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-011,evakuator nomerlari,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-011-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
mon-012,эвакуатор ташкент цена,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-012-url,url_citation,project URL/domain appears as final citation source,project URL/domain appears as final citation source,tracked separately in brand_mention layer
mon-012,эвакуатор ташкент цена,,"weekly for 4 weeks, then monthly",match project region and user/search GEO,EVAKUATOR.UZ | OOO MADAT LOGISTICS,draft,mon-012-brand,brand_mention,approved brand/domain/product alias appears in AI answer body,tracked separately in url_citation layer,approved brand/domain/product alias appears in AI answer body
