opportunity_id,topic,product,strategy_type,platform_or_domain,content_format,placement_angle,why_user_would_need_product,expected_ai_signal,evidence,priority_score,product_fit_score,signal_strength_score,platform_value_score,feasibility_score,effort,risk_or_limitation,intent,subintents,user_stage,commercial_motive,source_url,page_type,quality_status,status
pl-001,Услуги эвакуатора,not provided,enter_existing,166.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=ai_citation_or_cited_serp; source_count=4; cluster_queries=418; url=https://166.uz,59,12,28,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,https://166.uz,external_publication,downgraded,downgraded
pl-002,Услуги эвакуатора,not provided,enter_existing,evakuator-tashkent.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=6; cluster_queries=418,57,12,24,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-003,Услуги эвакуатора,not provided,enter_existing,m.olx.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=5; cluster_queries=418,57,12,24,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-004,Услуги эвакуатора,not provided,enter_existing,perevozka24.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=8; cluster_queries=418,57,12,24,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-005,Услуги эвакуатора,not provided,enter_existing,avtoelon.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=3; cluster_queries=418,54,12,21,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-006,Услуги эвакуатора,not provided,enter_existing,evakuator.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=3; cluster_queries=418,54,12,21,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-007,Услуги эвакуатора,not provided,enter_existing,yandex.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=3; cluster_queries=418,54,12,21,16,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-008,Услуги эвакуатора,not provided,enter_existing,olx.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=ai_citation_or_cited_serp; source_count=2; cluster_queries=418; url=https://olx.uz,52,12,20,15,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,https://olx.uz,external_publication,downgraded,downgraded
pl-009,Услуги эвакуатора,not provided,enter_existing,birbir.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=2; cluster_queries=418,48,12,16,15,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
pl-010,Услуги эвакуатора,not provided,enter_existing,auto.ustabor.uz,"guest material, expert quote, or article update",Show why the product is a direct next step for users ready to act on Услуги эвакуатора.,Product moment is weak until product/service is described.,brand mention in a visible cited article and possible URL/source citation,source=serp_visible_domain; source_count=1; cluster_queries=418,42,12,11,14,5,medium,Product/service description is missing; product fit is lower-assurance.; Requires outreach or editorial access.; low product fit,purchase_or_registration,"risk_reduction, comparison_or_choice, how_to_solution, provider_selection",purchase_decision,True,,external_publication,downgraded,downgraded
