query,engine,position,url,title,snippet,source_type,cited_in_ai
эвакуатор ташкент,yandex,1,https://yandex.uz,Вызвать эвакуатор Toshkentda menga yaqin xaritada: narxlar...,Вызвать эвакуатор Toshkentda: joylarni narxlar reyting sharhlar foto bo'yicha tanlash ish rejimini bilish kontaktlar va qanday borish yoki piyoda yurish – Yandex Maps ilovasida...,organic,False
эвакуатор ташкент,yandex,2,https://olx.uz,эвакуатор в Ташкент - OLX.uz,Эвакуатор Evakuator xizmati 24/7 arzon эвакуатор tashkent. Ташкент Мирабадский район - Сегодня в 04:11. Подписаться.,organic,False
эвакуатор ташкент,yandex,3,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент | Цены ...,Эвакуаторы в Ташкенте круглосуточно (24 часа) срочно. Частные объявления по аренде эвакуатора. Цены за вызов. Номера телефонов.,organic,False
эвакуатор ташкент,yandex,4,https://pro-auto.uz,Вызов эвакуатора в Ташкенте и области,PRO-AUTO помогает вызвать эвакуатор в Ташкенте и Ташкентской области. На этой странице собраны основные сценарии эвакуации: легковой автомобиль... 5.0 (14 отзывов),organic,False
эвакуатор ташкент,yandex,5,https://evakuator-tashkent.uz,Услуги эвакуатора в Ташкенте 24/7 от 100.000 сум,Услуги эвакуатора в Ташкенте. от 50.000сум. Приедем через 20 минут. Форма оплаты любая.,organic,False
эвакуатор ташкент,yandex,6,https://avtoelon.uz,Toshkentda Evakuator - avtomobil xizmatlari - Avtoelon.uz,Evakuator Toshkentni po luchshim tsenam. Avtomoyki himchistka gruzoperevozki evakuator zamena masle i mnogoe drugoe na sayte obyavleniy - Avtoelon.uz.,organic,False
эвакуатор ташкент,yandex,1,,Evakuator.uz - map pack (наш бизнес),Рейтинг 4.2 (3 отзыва). Круглосуточно. 7 км ул. Шахриабад 9. Буюк Ипак Йули 3.2 км.,local_pack,False
эвакуатор ташкент,yandex,2,,Evakuator 1331 - map pack (конкурент),Рейтинг 4.5 (4 отзыва). Круглосуточно. 9 км Ташкент Чиланзарс... Чиланзар 1.26 км. Эвакуатор от 10... 100 000 сум. Эвакуатор 18 то... 100 000 сум.,local_pack,False
эвакуатор ташкент,yandex,3,,Bobcat - map pack (конкурент спецтехника),Рейтинг 4.2. Спецтех... Закрыто до завтра. Чинаваш 1.9...,local_pack,False
evakuator,yandex,1,https://olx.uz,эвакуатор ...da Toshkent - OLX.uz,Эвакуатор | Evakuator xizmati tez. Toshkent Mirzo-Ulug'bek tumani - Bugunda 05:37. Kuzatish... Evakuator xizmati tez ishonchli va xavfsiz. Услуги Эвакуатора 24/7.,organic,False
evakuator,yandex,2,https://avtoelon.uz,O'zbekistonda evakuator - evakuator sotib olish - Avtoelon.uz,Avtoelon.uz — besplatnye obyavleniya o prodazhe novyh i BU evakuatorov O'zbekistonin. Luchshie predlozheniya i tseny. Bolshoy vybor evakuatorov.,organic,False
evakuator,yandex,3,https://glotr.uz,Evakuatorlar - O'zbekistonda xarid qiling: narxlar foto va sharhlar,Evakuatorlar kategoriyasidagi mahsulotlarini sotadigan kompaniyalar arzon narxlar tezkor yetkazib berish va xaridorga foydali bo'lgan boshqa imkoniyatlarni taklif qiladi.,organic,False
evakuator,yandex,4,https://evakuator.uz,Эвакуатор Ташкент 24/7 — вызов от 200 000 сум | Evakuator.uz,Эвакуатор в Ташкенте и по Узбекистану 24/7 — круглосуточная подача от 10-15 минут во все 12 районов. Легковые авто кроссоверы электромобили BYD/Tesla спецтехника...,organic,False
evakuator,yandex,5,https://evakuator-tashkent.uz,Эвакуатор в Ташкенте 24/7 от 50.000 сум,Эвакуатор в Ташкенте. от 50.000сум. Приедем через 20 минут.,organic,False
evakuator,yandex,6,https://birbir.uz,Вызвать эвакуатор Ташкент — услуги эвакуатора,Эвакуатор Ташкент: объявления от частных водителей и компаний. Эвакуатор в Ташкенте для легковых и грузовых авто мотоциклов и спецтехники.,organic,False
evakuator,yandex,0,https://evakuator.uz,Evakuator.uz — Yandex Business Card (наш бизнес),Рейтинг 4.2 (3 отзыва). ул. Шахриабад 9 Мирзо-Улугбекский район Ташкент. Телефон +998 94 66X XX XX. Telegram oybek_mahmudovich. Ежедневно круглосуточно. Отзывы: Рома Ж.Д. 5 звёзд 'Отличный сервис дядя Женя золотой мужик мастер своего дела...'; Ойбек Исаев 5 звёзд 'Сервис очень хороший быстро приехали и цена адекватная спасибо Фархад ака'; Fazliddinov Firdavs 1 звезда 'Не везде есть филиалы и дорого...',business_profile,False
эвакуатор,yandex,1,https://olx.uz,эвакуатор - Xizmatlar - OLX.uz,Xizmat ko'rsatish - эвакуатор. Bosh sahifa. Xizmatlar... Biz 1 000 dan ortiq e'lon topdik. Эвакуатор хизмати 24/7.,organic,False
эвакуатор,yandex,2,https://litro.uz,Эвакуатор - LITRO,Эвакуаторы доступны в любое время дня или ночи чтобы оперативно приехать на помощь в случае любой дорожной ситуации.,organic,False
эвакуатор,yandex,3,https://perevozka24.uz,Услуги эвакуатора в Узбекистане — все владельцы спецтехники...,Перевозка эвакуатором на сегодня достаточно распространена. Поэтому сдача эвакуатора в аренду всегда будет востребованным. Мы приглашаем владельцев спецтехники...,organic,False
эвакуатор,yandex,4,https://evacuator.avtoapp.ru,Виды эвакуаторов: полный гид по типам эвакуаторов и их...,Что такое эвакуатор. Компания Avtoapp — ваш надежный партнер в сфере транспорта. Предоставляем услуги по эвакуации и транспортировки различных видов...,organic,False
эвакуатор,yandex,5,https://neoavto.ru,Виды эвакуаторов — какой эвакуатор для легковых и грузовых...,Этот вид эвакуаторов подходит как для грузовых так и легковых авто а также лодок катеров и других ТС независимо от их габаритов. Техника с прямой платформой. 4.6 (41 отзыв),organic,False
эвакуатор,yandex,1,,Evakuator.uz - map pack (наш бизнес),Рейтинг 4.2 (3 отзыва). Круглосуточно.,local_pack,False
эвакуатор,yandex,2,,Evakuator 1331 - map pack (конкурент),Рейтинг 4.5 (4 отзыва). Круглосуточно.,local_pack,False
эвакуатор,yandex,3,,Pro-auto - map pack (конкурент),Рейтинг 4.7 (8 отзывов). Круглосуточно.,local_pack,False
evakuator xizmati,yandex,1,https://olx.uz,эвакуатор хизмати - Услуги эвакуатора в Ташкент - OLX.uz,эвакуатор хизмати в Ташкент Перевозка авто и услуги эвакуатора. Большой выбор компаний доступные цены. Нанять эвакуатор и автовоз можно на OLX.uz!,organic,False
evakuator xizmati,yandex,2,https://avtoelon.uz,O'zbekistonda Evakuator - avtomobil xizmatlari - Avtoelon.uz,Evakuator O'zbekistonin po luchshim tsenam. Avtomoyki himchistka gruzoperevozki evakuator zamena masle i mnogoe drugoe na sayte obyavleniy - Avtoelon.uz.,organic,False
evakuator xizmati,yandex,3,https://yandex.uz,Вызвать эвакуатор Toshkentda menga yaqin xaritada: narxlar...,Вызвать эвакуатор Toshkentda: joylarni narxlar reyting sharhlar foto bo'yicha tanlash ish rejimini bilish kontaktlar va qanday borish yoki piyoda yurish – Yandex Maps ilovasida... (Не найдено: xizmati),organic,False
evakuator xizmati,yandex,4,https://birbir.uz,Вызвать эвакуатор Ташкент — услуги эвакуатора,Evakuator xizmati Toshkent / Услуга Эвакуатора в Ташкенте. Ташкент 19.08.2026 18:10... Услуги эвакуатор 24/7 Евакуатор хизмати 24/7 Evakuator xizmati 24/7.,organic,False
