ngram,n,count,document_count,median_density_pct,nonzero_median_density_pct,recommended_density_pct,recommended_occurrences_per_1000_words,recommended_min_occurrences_per_1000_words,recommended_max_occurrences_per_1000_words,competitor_density_pct,density_basis,recommended_use,ngram_id
оператора узбекистана,2,5,2,0.376,0.376,0.376,3.8,2.8,4.8,cmp_001:3/795=0.3774% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_001
мирзо улугбек,2,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_002
вызвать эвакуатор,2,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_003
эвакуатора ташкенте,2,4,2,0.313,0.313,0.313,3.1,2.3,3.9,cmp_001:2/795=0.2516% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_004
любого оператора,2,4,2,0.313,0.313,0.313,3.1,2.3,3.9,cmp_001:2/795=0.2516% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_005
эвакуатор ташкенте,2,4,2,0.2823,0.2823,0.2823,2.8,2.1,3.5,cmp_001:3/795=0.3774% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_006
ташкент самарканд,2,3,2,0.2501,0.2501,0.2501,2.5,1.9,3.1,cmp_001:1/795=0.1258% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_007
карта payme,2,3,2,0.2501,0.2501,0.2501,2.5,1.9,3.1,cmp_001:1/795=0.1258% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_008
payme click,2,3,2,0.2501,0.2501,0.2501,2.5,1.9,3.1,cmp_001:1/795=0.1258% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_009
типа авто,2,3,2,0.2194,0.2194,0.2194,2.2,1.7,2.8,cmp_001:2/795=0.2516% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_010
сум грузовик,2,3,2,0.2194,0.2194,0.2194,2.2,1.7,2.8,cmp_001:2/795=0.2516% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_011
межгород рассчитывается,2,3,2,0.2194,0.2194,0.2194,2.2,1.7,2.8,cmp_001:2/795=0.2516% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_012
бесплатный звонок,2,3,2,0.2194,0.2194,0.2194,2.2,1.7,2.8,cmp_001:2/795=0.2516% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_013
эвакуация грузоперевозки,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_014
эвакуатор ташкент,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_015
улучшения работы,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_016
узбекистана менеджер,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_017
ташкенте минимальный,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_018
сумах банковская,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_019
сум спецтехника,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_020
сум микроавтобус,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_021
сум легковой,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_022
сум внедорожник,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_023
стоит вызвать,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_024
среднее время,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_025
спецтехника автобус,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_026
соглашаетесь нашей,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_027
сложности погрузки,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_028
сайта анализа,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_029
работы сайта,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_030
прямо сейчас,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_031
продолжая использовать,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_032
принимаю подождите,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_033
после доставки,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_034
посещений продолжая,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_035
помощи звонок,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_036
политикой конфиденциальности,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_037
позвонить работаем,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_038
подача минут,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_039
оператор называет,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_040
ночью выходные,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_041
номер бесплатный,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_042
нашей политикой,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_043
наличные сумах,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_044
называет фиксированную,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_045
минуты позвонить,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_046
минимальный тариф,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_047
месте после,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_048
менеджер поможет,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_049
легковой автомобиль,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_050
корпоративных клиентов,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_051
конфиденциальности принимаю,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_052
используем cookie,2,2,2,0.1565,0.1565,0.1565,1.6,1.2,2.0,cmp_001:1/795=0.1258% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,must_cover,ng_053
